source_genesymbol	target_genesymbol	is_directed	consensus_direction	references
CDK5	TRPV1	1	1	ProtMapper:23668392;ProtMapper:26376215;ProtMapper:26894912;ProtMapper:26902776;ProtMapper:29352128;ProtMapper:29467671;TRIP:17194758;TRIP:22451679;TRIP:23077056
FAF1	TRPV1	1	1	TRIP:16510717
GABARAP	TRPV1	1	1	TRIP:20179142
KIF13B	TRPV1	1	1	TRIP:23077056
PIRT	TRPV1	1	1	TRIP:18455988
PRKACA	TRPV1	1	1	TRIP:12194871
SRC	TRPV1	1	1	PhosphoSite:16319926;ProtMapper:16319926;ProtMapper:17582331;ProtMapper:24717323;ProtMapper:25970319;ProtMapper:30292787;TRIP:15084474;TRIP:16319926
NTRK1	TRPV1	1	1	TRIP:16319926
EGFR	TRPV3	1	1	TRIP:20403327
CALM3	TRPV4	1	1	TRIP:12724311;TRIP:21837266
CALM1	TRPV4	1	1	HPRD:12724311;TRIP:12724311;TRIP:21837266
CALM2	TRPV4	1	1	TRIP:12724311;TRIP:21837266
FYN	TRPV4	1	1	HPRD:12538589;TRIP:12538589
HCK	TRPV4	1	1	HPRD:12538589;TRIP:12538589
ITPR3	TRPV4	1	1	TRIP:18378772;TRIP:18826956
LCK	TRPV4	1	1	HPRD:12538589;TRIP:12538589
LYN	TRPV4	1	1	HPRD-phos:12538589;HPRD:12538589;KEA:12538589;TRIP:12538589;TRIP:18234883;iPTMnet:12538589;phosphoELM:12538589
MAP7	TRPV4	1	1	HPRD:14517216;Lit-BM-17:14517216;TRIP:14517216
OS9	TRPV4	1	1	HPRD:17932042;SIGNOR:17932042;TRIP:17932042
PACSIN3	TRPV4	1	1	HPRD:16627472;TRIP:16627472;TRIP:18174177
SRC	TRPV4	1	1	HPRD:12538589;KEA:17570479;ProtMapper:12538589;TRIP:12538589;TRIP:19033444
PKD2	TRPV4	1	1	TRIP:18695040;TRIP:20682256;TRIP:22518003;TRIP:23977387;TRIP:25114176
YES1	TRPV4	1	1	HPRD:12538589;TRIP:12538589
BSPRY	TRPV5	1	1	TRIP:16380433
CALB1	TRPV5	1	1	HPRD:16763551;TRIP:16763551
CALM3	TRPV5	1	1	TRIP:20686800;TRIP:20926660;TRIP:21576356
CALM1	TRPV5	1	1	TRIP:20686800;TRIP:20926660;TRIP:21576356
CALM2	TRPV5	1	1	TRIP:20686800;TRIP:20926660;TRIP:21576356
KL	TRPV5	1	1	TRIP:16239475;TRIP:18495742;TRIP:18606998
RAB11A	TRPV5	1	1	TRIP:16354700
S100A10	TRPV5	1	1	Lit-BM-17:12660155;TRIP:12660155
TGM2	TRPV5	1	1	TRIP:21952826
MCOLN3	TRPV5	1	1	TRIP:23469151
TRPV5	MCOLN3	1	1	TRIP:23469151
TRPV6	TRPV5	1	1	TRIP:12574114;TRIP:19295174
TRPV5	TRPV6	1	1	TRIP:12574114;TRIP:19295174
CALM3	TRPV6	1	1	TRIP:11248124;TRIP:12765696;TRIP:15123711;TRIP:16959851;TRIP:20926660
CALM1	TRPV6	1	1	HPRD:11248124;TRIP:11248124;TRIP:12765696;TRIP:15123711;TRIP:16959851;TRIP:20926660
CALM2	TRPV6	1	1	TRIP:11248124;TRIP:12765696;TRIP:15123711;TRIP:16959851;TRIP:20926660
FYN	TRPV6	1	1	TRIP:17197020
KL	TRPV6	1	1	TRIP:16239475;TRIP:18495742
PDZD3	TRPV6	1	1	TRIP:17645868
NIPSNAP1	TRPV6	1	1	TRIP:18392847
NUMB	TRPV6	1	1	TRIP:23140583;TRIP:24704446
PTPN1	TRPV6	1	1	DEPOD:15894168;DEPOD:17197020;HPRD:15894168;IntAct:15894168;IntAct:17197020;Lit-BM-17:15894168;Lit-BM-17:17197020;SIGNOR:17197020;TRIP:15894168;TRIP:17197020
RAB11A	TRPV6	1	1	TRIP:16354700
RGS2	TRPV6	1	1	TRIP:16895908
S100A10	TRPV6	1	1	CellTalkDB:18187190;HPRD:12660155;TRIP:12660155;TRIP:16189514;TRIP:18187190
SRC	TRPV6	1	1	TRIP:17197020
NYX	TRPM1	1	1	TRIP:21734298
CALM3	TRPM2	1	1	TRIP:16461353
CALM1	TRPM2	1	1	TRIP:16461353
CALM2	TRPM2	1	1	TRIP:16461353
EFHC1	TRPM2	1	1	TRIP:22226147
PTPN13	TRPM2	1	1	TRIP:17251321
CALM3	TRPM4	1	1	TRIP:15590641
CALM1	TRPM4	1	1	TRIP:15590641
CALM2	TRPM4	1	1	TRIP:15590641
RACK1	TRPM6	1	1	SIGNOR:18258429;TRIP:18258429
PHB2	TRPM6	1	1	TRIP:19329436
TRPM6	TRPM7	1	1	HPRD:14976260;ProtMapper:26563869;TRIP:24385424
RACK1	TRPM7	1	1	TRIP:18258429
HTR1B	TRPM8	1	1	TRIP:24269608
OPRM1	TRPM8	1	1	TRIP:23911290
PRKACA	MCOLN1	1	1	PhosphoSite:17988215;ProtMapper:17988215;SIGNOR:17988215;TRIP:17988215;iPTMnet:17988215
MCOLN2	MCOLN1	1	1	TRIP:16606612;TRIP:19557826;TRIP:19885840;TRIP:20736310
MCOLN1	MCOLN2	1	1	TRIP:16606612;TRIP:19557826;TRIP:19885840;TRIP:20736310
MCOLN1	MCOLN3	1	1	TRIP:16606612;TRIP:19522758;TRIP:19557826;TRIP:19885840;TRIP:20736310;TRIP:23469151
MCOLN2	MCOLN3	1	1	TRIP:16606612;TRIP:19557826;TRIP:20736310;TRIP:23469151
PRKCSH	PKD2	1	1	TRIP:19801576
KIF3A	PKD2	1	1	TRIP:16950792;TRIP:17008358;TRIP:17283055
STX5	PKD2	1	1	TRIP:18836075
RACK1	PKD2L2	1	1	TRIP:22174419
CASP3	EIF3J	1	1	HPRD:10672017;SPIKE:10672017
CASP3	ITGB4	1	1	SPIKE:17178732
MAPK14	MAPKAPK2	1	1	ACSN:11274345;ACSN:12738796;ACSN:15187187;ACSN:18039929;BioGRID:17395714;CA1:7592979;CA1:7923353;ELM:23047924;ELM:25255283;HPRD-phos:18669648;HPRD-phos:7592979;HPRD-phos:8846784;HPRD:7592979;HPRD:8846784;HPRD:9768359;InnateDB:10581204;InnateDB:17255097;IntAct:17255097;IntAct:21988832;IntAct:25241761;KEA:16456544;KEA:7592979;KEA:8846784;Lit-BM-17:10581204;Lit-BM-17:10922375;Lit-BM-17:11042204;Lit-BM-17:17255097;Lit-BM-17:17395714;Lit-BM-17:21675959;Lit-BM-17:21988832;Lit-BM-17:23455922;Lit-BM-17:23602568;Lit-BM-17:25241761;Lit-BM-17:25852190;Lit-BM-17:26186194;Lit-BM-17:26496610;Macrophage:17906627;ProtMapper:14499342;ProtMapper:27898710;ProtMapper:7592979;ProtMapper:8846784;SIGNOR:14499342;SIGNOR:7592979;SIGNOR:8846784;SPIKE:15629715;SPIKE:9768359;SignaLink3:11042204;SignaLink3:11551945;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:7592979;SignaLink3:8846784;SignaLink3:9768359;SignaLink3:9922370;dbPTM:8846784;iPTMnet:14499342;iPTMnet:18669648;iPTMnet:7592979;iPTMnet:8846784;phosphoELM:8846784
MAPKAPK2	HNRNPA0	1	1	HPRD:12456657;PhosphoSite:26602816;ProtMapper:25716654;ProtMapper:26602816;SIGNOR:12456657;SPIKE:21173571;dbPTM:17287340;dbPTM:20932473;iPTMnet:12456657
TIA1	GADD45A	1	1	SPIKE:21173571
HNRNPD	GADD45A	1	1	SPIKE:21173571
MAPKAPK2	PARN	1	1	PhosphoSite:20932473;ProtMapper:20932473;SIGNOR:20932473;SPIKE:21173571;dbPTM:16964243;dbPTM:18669648;dbPTM:19690332;dbPTM:20932473;iPTMnet:20932473
HNRNPA0	GADD45A	1	1	SPIKE:21173571
JAK2	EPOR	1	1	BioGRID:8343951;Cellinker:9030561;HPRD-phos:12441334;HPRD:11779507;HPRD:12441334;HPRD:8343951;KEA:10579919;KEA:10660611;KEA:11443118;KEA:12027890;KEA:12441334;KEA:7559499;KEA:9573010;ProtMapper:12441334;ProtMapper:15212693;SIGNOR:12441334;SPIKE:12524467;SPIKE:18672044;iPTMnet:10579919;iPTMnet:12441334;phosphoELM:10579919
ESPN	MYO15A	1	1	SPIKE:16206170
GJB6	GJB2	1	1	HPRD:14595769;SPIKE:19047647
GJB2	GJB6	1	1	HPRD:14595769;SPIKE:19047647
MAPK14	TIAL1	1	1	SPIKE:21173571
PARN	GADD45A	1	1	SPIKE:20932473
NUMB	NOTCH1	1	1	BioGRID:8755477;HPRD:12682059;HPRD:8755477;NetPath:8755477;SIGNOR:12682059;SPIKE:15358736
TIAL1	GADD45A	1	1	SPIKE:21173571
ZIC1	ATOH1	1	1	SPIKE:12642498
MAPK14	ZFP36	1	1	KEA:17570479;SIGNOR:25815583;SPIKE:20599781
HES5	ATOH1	1	1	SPIKE:14757642;SPIKE:15358736
ATOH1	HES5	1	1	SPIKE:14757642;SPIKE:15358736
MAPKAPK2	ZFP36	1	1	HPRD-phos:14688255;HPRD-phos:18669648;HPRD:14688255;KEA:14688255;ProtMapper:14688255;ProtMapper:15535838;ProtMapper:16508015;ProtMapper:19416727;ProtMapper:19542371;ProtMapper:20595389;ProtMapper:21776382;ProtMapper:22428854;ProtMapper:23272005;ProtMapper:23602935;ProtMapper:24705157;ProtMapper:25535763;ProtMapper:26926077;ProtMapper:27220464;ProtMapper:27708140;ProtMapper:28659609;ProtMapper:29444957;SIGNOR:14688255;SPIKE:20599781;dbPTM:15014438;dbPTM:18669648;iPTMnet:14688255
JAG2	NOTCH1	1	1	Baccin2019:1100613311006130;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;HPRD:11006133;ICELLNET:16921404;ICELLNET:21352254;ICELLNET:22503540;LRdb:11006133;NetPath:11006133;SIGNOR:9315665;SignaLink3:10958687;SignaLink3:11006133;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11006133
DLL1	NOTCH1	1	1	Baccin2019:1006133;Baccin2019:98194281;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;Cellinker:9819428;HPRD:11006133;ICELLNET:21685328;LRdb:11;LRdb:9819428;NetPath:11006133;SIGNOR:16140393;SPIKE:11006133;SPIKE:17537801;connectomeDB2020:11006133;connectomeDB2020:9819428
SIX1	LFNG	1	1	SPIKE:14695375
SIX1	OTX2	1	1	SPIKE:14695375
SIX1	HMX3	1	1	SPIKE:12874121;SPIKE:14695375
SIX1	DLX5	1	1	SPIKE:14695375
SIX1	OTX1	1	1	SPIKE:14695375
SIX1	DACH1	1	1	HPRD:14628042;SPIKE:14695375;SPIKE:17035528
SIX1	DACH2	1	1	SPIKE:14695375
MYO7A	PCDH15	1	1	SPIKE:16481439
PCDH15	MYO7A	1	1	SPIKE:16481439
GABPA	TXNRD1	1	1	SPIKE:19114066
GABPA	TXN	1	1	SPIKE:19114066
MAPK3	GABPA	1	1	SPIKE:19114066
MAPK1	GABPA	1	1	SPIKE:19114066
TUB	MAPK1	1	1	SPIKE:19114066
TUB	MAPK3	1	1	SPIKE:19114066
PROX1	GFI1	1	1	SPIKE:18652815
GFI1	CDKN1C	1	1	SPIKE:18652815
KEAP1	GABPA	1	1	BioGRID:19424503;SPIKE:19114066
PROX1	ATOH1	1	1	SPIKE:18652815
GATA3	FGF10	1	1	SPIKE:16806848
IGF2BP1	BTRC	1	1	SPIKE:19106159
PAX3	DACH2	1	1	SPIKE:14695375
DACH2	PAX3	1	1	SPIKE:14695375
NFAT5	AKR1B1	1	1	SPIKE:15522988;SPIKE:18056707
FOXI1	PAX8	1	1	SPIKE:12702667
FGF3	FOXI1	1	1	SPIKE:12702667
NFAT5	SLC6A12	1	1	SPIKE:15522988
AKT1	CHUK	1	1	BioGRID:10485711;BioGRID:11278366;BioGRID:15710601;BioGRID:15800029;CancerCellMap:10485710;ELM:10485710;HPRD-phos:10485710;HPRD:10485710;InnateDB:10485710;KEA:10485710;KEA:12048203;KEA:17570479;KEA:18515365;Lit-BM-17:10485710;Lit-BM-17:10485711;Lit-BM-17:11278366;Lit-BM-17:15710601;Lit-BM-17:15800029;Lit-BM-17:25241761;NetPath:17660512;ProtMapper:10485710;ProtMapper:19609947;SIGNOR:19609947;SPIKE:19442713;dbPTM:10485710;dbPTM:19088076;iPTMnet:10485710;iPTMnet:19609947
NFAT5	SLC5A3	1	1	SPIKE:15522988
CHUK	NFKB1	1	1	CancerCellMap:10469655;CancerCellMap:12482991;CancerCellMap:14743216;HPRD-phos:10469655;HPRD-phos:11158290;HPRD:11976329;InnateDB:10469655;IntAct:11297557;IntAct:12482991;KEA:10469655;KEA:11158290;KEA:11976329;KEA:12482991;Macrophage:15489227;Macrophage:15494311;Macrophage:16382138;NetPath:14743216;PhosphoSite:12482991;ProtMapper:10469655;ProtMapper:11297557;ProtMapper:11976329;ProtMapper:27554194;SIGNOR:10469655;SIGNOR:11297557;SPIKE:19442713;iPTMnet:10022904;iPTMnet:10469655;iPTMnet:11158290;iPTMnet:11976329;phosphoELM:10469655;phosphoELM:11158290;phosphoELM:12482991
PIK3R1	AKT1	1	1	HPRD:10527852;NetPath:16799564;SPIKE:19442713
CDC73	CPSF3	1	1	SPIKE:19136632
SYMPK	CSTF1	1	1	SPIKE:10669729
CDK1	RRM2	1	1	HPRD-phos:17924679;HPRD-phos:18669648;HPRD-phos:18767875;HPRD-phos:19413330;HPRD-phos:19415658;HPRD-phos:19664995;HPRD-phos:20058876;HPRD-phos:9990288;HPRD:9990288;KEA:16964243;KEA:9990288;PhosphoSite:17693683;ProtMapper:22632967;ProtMapper:9990288;SIGNOR:22632967;SIGNOR:9990288;SPIKE:9990288;iPTMnet:17924679;iPTMnet:18669648;iPTMnet:18767875;iPTMnet:19413330;iPTMnet:19415658;iPTMnet:19664995;iPTMnet:20058876;iPTMnet:22632967;iPTMnet:9990288;phosphoELM:9990288
CASP3	ACIN1	1	1	HPRD:10490026;ProtMapper:21904669;SIGNOR:10490026;SPIKE:10490026
CDKN1A	CDK1	1	1	HPRD:9467962;IntAct:24218572;Lit-BM-17:17679094;Lit-BM-17:21308745;Lit-BM-17:23602568;Lit-BM-17:24218572;Lit-BM-17:26186194;Lit-BM-17:26496610;ProtMapper:12973835;SIGNOR:15340381;SPIKE:15077146
TP53	PRC1	1	1	SPIKE:15531928
TP53	ATF3	1	1	HPRD:11792711;Lit-BM-17:11792711;Lit-BM-17:15933712;Lit-BM-17:16169070;SPIKE:18431400
TERF2	ATM	1	1	DIP:15314656;SIGNOR:18680434
MYCN	MCM6	1	1	SPIKE:17826980
MDM2	RRM2B	1	1	SPIKE:19015526
ATR	XPA	1	1	ACSN:11877377;ACSN:15459660;ACSN:15798197;ACSN:16540648;ACSN:17102137;ACSN:17116885;ACSN:17296725;ACSN:17384638;ACSN:17582221;ACSN:18677104;ACSN:19004803;ACSN:19282663;ACSN:19622404;ACSN:19793801;HPRD:16540648;KEA:16540648;ProtMapper:16540648;ProtMapper:18790090;ProtMapper:20451471;ProtMapper:23178497;ProtMapper:23861882;ProtMapper:24947324;ProtMapper:27247238;ProtMapper:27827925;SIGNOR:16540648;SIGNOR:23178497;SIGNOR:30327428;SPIKE:18594563;SPIKE:19586908;iPTMnet:16540648;iPTMnet:23178497
MYCN	MCM4	1	1	SPIKE:17826980
MYCN	MCM5	1	1	SPIKE:17826980
MYCN	MCM2	1	1	SPIKE:17826980
MYCN	MCM3	1	1	SPIKE:17826980
E2F1	CDCA4	1	1	ACSN:16984923;SPIKE:16984923
KLF2	CXCR4	1	1	SPIKE:19671192
IGF1	IGF1R	1	1	Baccin2019:1852007;Baccin2019:2877871;CA1:8408032;CellChatDB:14604834;CellTalkDB:2877871;Cellinker:14604834;Cellinker:1852007;Cellinker:2877871;DIP:11287679;DIP:21645859;HPMR:2877871;HPRD:1852007;IntAct:21645859;IntAct:8452530;LRdb:185;LRdb:2877871;ProtMapper:19258508;ProtMapper:23675206;SIGNOR:19029956;SIGNOR:21798082;SPIKE:1852007;SignaLink3:12067807;SignaLink3:1852007;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:1852007;connectomeDB2020:2877871
CCL2	MMP14	1	1	SPIKE:15516694
MMP14	MMP2	1	1	ACSN:23691193;ACSN:24376839;HPRD:14583471;HPRD:8663332;SPIKE:11857380
ABL1	TP73	1	1	ACSN:15459660;ACSN:19788416;ACSN:21051857;ACSN:21199784;ACSN:21435002;BioGRID:10391250;CancerCellMap:10391251;CancerCellMap:12070014;DOMINO:11278685;HPRD-phos:10391251;HPRD:10391250;HPRD:10391251;KEA:10391251;LMPID:10391251;NetPath:10391251;PhosphoSite:10391250;PhosphoSite:10391251;PhosphoSite:25893286;ProtMapper:10391249;ProtMapper:10391250;ProtMapper:10391251;ProtMapper:11223036;ProtMapper:17535448;ProtMapper:20057499;ProtMapper:20195489;ProtMapper:21188172;ProtMapper:23318434;ProtMapper:25341038;ProtMapper:25666857;ProtMapper:25893286;ProtMapper:26512706;ProtMapper:27294865;ProtMapper:28690977;SIGNOR:10391251;SPIKE:10391235;SPIKE:10391251;SPIKE:15686624;SPIKE:20841568;SignaLink3:10391250;SignaLink3:10391251;SignaLink3:18988627;SignaLink3:23331499;dbPTM:10391251;iPTMnet:10391251;phosphoELM:10391251
PRKDC	ABL1	1	1	HPRD:9312071;KEA:17570479;SPIKE:18157161;SPIKE:9109492
MYCN	MCM7	1	1	SPIKE:17826980
MYCN	MCM8	1	1	SPIKE:17826980
ARNTL	CRY2	1	1	SPIKE:19106159
CRY2	ARNTL	1	1	SPIKE:18662546
ARNTL	CRY1	1	1	HPRD:10531061;Lit-BM-17:10531061;Lit-BM-17:23555304;Lit-BM-17:25756610;SPIKE:10531061;SPIKE:19106159
CRY1	ARNTL	1	1	HPRD:10531061;Lit-BM-17:10531061;Lit-BM-17:23555304;Lit-BM-17:25756610;SPIKE:10531061;SPIKE:18662546
NPAS2	PER2	1	1	SPIKE:19106159
NPAS2	PER1	1	1	SPIKE:19106159
ATAD2	ESR1	1	1	BioGRID:17998543;DIP:17998543;HPRD:17998543;IntAct:17998543;IntAct:25640309;Lit-BM-17:17998543;Lit-BM-17:25640309;SPIKE:17998543
ATAD2	E2F1	1	1	SPIKE:17998543
USP28	CLSPN	1	1	HPRD:16901786;SPIKE:16901786;SPIKE:19680264
PRKN	CCNE1	1	1	SPIKE:12628165;SPIKE:15194120;SPIKE:20418918
PCNA	POLI	1	1	BioGRID:11724965;BioGRID:18931444;ELM:19208623;HPRD:16763556;Lit-BM-17:15342632;Lit-BM-17:16763556;Lit-BM-17:18931444;Lit-BM-17:23248005;Lit-BM-17:26903512;SPIKE:16357261
PRKN	SEPTIN5	1	1	BioGRID:18845538;HPRD:11078524;Lit-BM-17:14559152;Lit-BM-17:16714300;Lit-BM-17:18845538;Lit-BM-17:24722188;SPIKE:15194120;SPIKE:20418918
PCNA	POLH	1	1	BioGRID:15149598;BioGRID:21855803;BioGRID:24474685;BioGRID:26988343;BioGRID:30963698;ELM:19208623;HPRD:11585903;HPRD:16763556;Lit-BM-17:11585903;Lit-BM-17:15149598;Lit-BM-17:15342632;Lit-BM-17:16763556;Lit-BM-17:20129057;Lit-BM-17:20159558;Lit-BM-17:21791603;Lit-BM-17:21855803;Lit-BM-17:23042605;Lit-BM-17:23345618;Lit-BM-17:23388460;Lit-BM-17:23761444;Lit-BM-17:24474685;Lit-BM-17:25766642;Lit-BM-17:26988343;Lit-BM-17:27770570;SPIKE:16357261
MYCN	TP53	1	1	SPIKE:20145147
ATAD2	MYC	1	1	SPIKE:19843847
ATAD2	AR	1	1	SPIKE:19318566
USP7	MDM2	1	1	BioGRID:28406480;BioGRID:29236775;DIP:16402859;DIP:16474402;DIP:22056774;ELM:20713061;ELM:20816748;HPRD:15916963;HPRD:16474402;HPRD:16845383;HPRD:17936559;IntAct:15916963;IntAct:16402859;IntAct:16474402;IntAct:17936559;IntAct:22056774;LMPID:16402859;LMPID:16474402;LMPID:20713061;Lit-BM-17:15916963;Lit-BM-17:16402859;Lit-BM-17:16474402;Lit-BM-17:16845383;Lit-BM-17:16943424;Lit-BM-17:17380154;Lit-BM-17:17936559;Lit-BM-17:18566590;Lit-BM-17:20713061;Lit-BM-17:20816748;Lit-BM-17:24462112;Lit-BM-17:26238070;Lit-BM-17:26460617;Lit-BM-17:27452404;Lit-BM-17:28196907;SIGNOR:16082221;SPIKE:15916963
